well,row,col,area_px,diameter_px,major_d_px,minor_d_px,aspect,angle_deg,center_x_roi,center_y_roi,dense_x_roi,dense_y_roi,center_x_img,center_y_img,dense_x_img,dense_y_img
B10,1,9,270.0,30.70754051208496,31.91314697265625,29.501934051513672,1.081730672874949,97.84306335449219,500,69,510,67,500,69,510,67
B11,1,10,318.5,28.190360069274902,31.28597640991211,25.094743728637695,1.2467143218605212,53.02017593383789,555,68,553,68,555,68,553,68
B12,1,11,322.5,31.268744468688965,36.581947326660156,25.955541610717773,1.4094079744247927,69.94479370117188,615,69,626,61,615,69,626,61
C1,2,0,391.0,23.80949115753174,27.454986572265625,20.16399574279785,1.3615846245192726,164.10096740722656,15,112,12,108,15,112,12,108
C2,2,1,686.5,29.90056324005127,32.81394577026367,26.987180709838867,1.2159086242862156,89.58733367919922,65,110,69,107,65,110,69,107
C3,2,2,751.5,31.356359481811523,33.32783126831055,29.3848876953125,1.1341827000967926,105.74234008789062,120,112,112,118,120,112,112,118
C4,2,3,366.5,26.98320484161377,28.115936279296875,25.850473403930664,1.087637191008724,159.19642639160156,174,112,177,111,174,112,177,111
C5,2,4,358.5,27.131274223327637,28.34980583190918,25.912742614746094,1.0940488335563614,82.44535064697266,226,112,226,106,226,112,226,106
C6,2,5,246.5,28.745914459228516,31.905731201171875,25.586097717285156,1.2469948154546981,118.3231201171875,284,112,293,108,284,112,293,108
C7,2,6,337.0,28.694671630859375,30.343647003173828,27.045696258544922,1.1219399461231079,88.41436004638672,336,112,346,115,336,112,346,115
C8,2,7,279.5,31.55830478668213,34.5403938293457,28.576215744018555,1.2087112631971062,93.82684326171875,392,111,397,115,392,111,397,115
C9,2,8,560.0,28.802592277526855,31.4700870513916,26.13509750366211,1.204131228015581,148.15780639648438,447,111,446,114,447,111,446,114
C10,2,9,559.0,29.01345443725586,30.526342391967773,27.500566482543945,1.1100259484234423,156.33441162109375,500,112,501,119,500,112,501,119
C11,2,10,201.5,32.86994647979736,37.8176155090332,27.922277450561523,1.3543886445506501,93.58843231201172,557,112,552,101,557,112,552,101
C12,2,11,,36.0,,,,,617,111,606,109,617,111,606,109
